asset_id,name,priority,scope,source_path,size_px,background,existing_art,status,brief,creator_or_source,usage_rights,notes
chests-warlord-chest-open,Warlord chest open,P1,Current content,asset-inbox/chests/warlord-chest-open.png,1024x1024,Transparent,,Not started,"Open chest, identical camera and construction to its paired state; reinforced military steel.",,,
chests-sovereign-chest-closed,Sovereign chest closed,P1,Current content,asset-inbox/chests/sovereign-chest-closed.png,1024x1024,Transparent,,Not started,"Closed chest, identical camera and construction to its paired state; ornate ancient royal metalwork.",,,
chests-sovereign-chest-open,Sovereign chest open,P1,Current content,asset-inbox/chests/sovereign-chest-open.png,1024x1024,Transparent,,Not started,"Open chest, identical camera and construction to its paired state; ornate ancient royal metalwork.",,,
runes-rune-of-resolve,Rune of Resolve,P2,Current content,asset-inbox/runes/rune-of-resolve.png,1024x1024,Transparent,,Not started,"Distinct engraved stone silhouette; discoverable item only, no public collection preview.",,,
runes-rune-of-vigor,Rune of Vigor,P2,Current content,asset-inbox/runes/rune-of-vigor.png,1024x1024,Transparent,,Not started,"Distinct engraved stone silhouette; discoverable item only, no public collection preview.",,,
runes-rune-of-ascendance,Rune of Ascendance,P2,Current content,asset-inbox/runes/rune-of-ascendance.png,1024x1024,Transparent,,Not started,"Distinct engraved stone silhouette; discoverable item only, no public collection preview.",,,
runes-rune-of-the-ancients,Rune of the Ancients,P2,Current content,asset-inbox/runes/rune-of-the-ancients.png,1024x1024,Transparent,,Not started,"Distinct engraved stone silhouette; discoverable item only, no public collection preview.",,,
runes-rune-of-eternity,Rune of Eternity,P2,Current content,asset-inbox/runes/rune-of-eternity.png,1024x1024,Transparent,,Not started,"Distinct engraved stone silhouette; discoverable item only, no public collection preview.",,,
companions-woodland-fox-portrait,Woodland Fox,P2,Current content,asset-inbox/companions/woodland-fox-portrait.png,1024x1024,Full image,public/art/companion-0.webp,Existing art to review,Portrait with face centered; existing image may be kept.,,,
companions-woodland-fox-full,Woodland Fox full body,Optional,Proposed presentation,asset-inbox/companions/woodland-fox-full.png,1536x1536,Transparent,,Not started,Same individual and markings as portrait; complete tail and wings inside frame.,,,
companions-mossback-owl-portrait,Mossback Owl,P2,Current content,asset-inbox/companions/mossback-owl-portrait.png,1024x1024,Full image,public/art/companion-1.webp,Existing art to review,Portrait with face centered; existing image may be kept.,,,
companions-mossback-owl-full,Mossback Owl full body,Optional,Proposed presentation,asset-inbox/companions/mossback-owl-full.png,1536x1536,Transparent,,Not started,Same individual and markings as portrait; complete tail and wings inside frame.,,,
companions-silverfang-wolf-portrait,Silverfang Wolf,P2,Current content,asset-inbox/companions/silverfang-wolf-portrait.png,1024x1024,Full image,public/art/companion-2.webp,Existing art to review,Portrait with face centered; existing image may be kept.,,,
companions-silverfang-wolf-full,Silverfang Wolf full body,Optional,Proposed presentation,asset-inbox/companions/silverfang-wolf-full.png,1536x1536,Transparent,,Not started,Same individual and markings as portrait; complete tail and wings inside frame.,,,
companions-ember-drake-portrait,Ember Drake,P2,Current content,asset-inbox/companions/ember-drake-portrait.png,1024x1024,Full image,public/art/companion-3.webp,Existing art to review,Portrait with face centered; existing image may be kept.,,,
companions-ember-drake-full,Ember Drake full body,Optional,Proposed presentation,asset-inbox/companions/ember-drake-full.png,1536x1536,Transparent,,Not started,Same individual and markings as portrait; complete tail and wings inside frame.,,,
companions-dawn-phoenix-portrait,Dawn Phoenix,P2,Current content,asset-inbox/companions/dawn-phoenix-portrait.png,1024x1024,Full image,public/art/companion-4.webp,Existing art to review,Portrait with face centered; existing image may be kept.,,,
companions-dawn-phoenix-full,Dawn Phoenix full body,Optional,Proposed presentation,asset-inbox/companions/dawn-phoenix-full.png,1536x1536,Transparent,,Not started,Same individual and markings as portrait; complete tail and wings inside frame.,,,
settlements-homestead,Homestead,P2,Current content,asset-inbox/settlements/homestead.png,1920x1080,Full image,public/art/homestead.webp,Existing art to review,"Same valley, camera and time of day across all six tiers; recognizable home grows into a fortified realm.",,,
settlements-settlement,Settlement,P2,Current content,asset-inbox/settlements/settlement.png,1920x1080,Full image,,Not started,"Same valley, camera and time of day across all six tiers; recognizable home grows into a fortified realm.",,,
settlements-village,Village,P2,Current content,asset-inbox/settlements/village.png,1920x1080,Full image,public/art/village.webp,Existing art to review,"Same valley, camera and time of day across all six tiers; recognizable home grows into a fortified realm.",,,
settlements-castle,Castle,P2,Current content,asset-inbox/settlements/castle.png,1920x1080,Full image,,Not started,"Same valley, camera and time of day across all six tiers; recognizable home grows into a fortified realm.",,,
settlements-stronghold,Stronghold,P2,Current content,asset-inbox/settlements/stronghold.png,1920x1080,Full image,public/art/stronghold.webp,Existing art to review,"Same valley, camera and time of day across all six tiers; recognizable home grows into a fortified realm.",,,
settlements-citadel,Citadel,P2,Current content,asset-inbox/settlements/citadel.png,1920x1080,Full image,,Not started,"Same valley, camera and time of day across all six tiers; recognizable home grows into a fortified realm.",,,
buildings-armory,Armory,P2,Current content,asset-inbox/buildings/armory.png,1920x1080,Full image,,Not started,Readable building silhouette; important features within the central crop; no signage text.,,,
buildings-barracks,Barracks,P2,Current content,asset-inbox/buildings/barracks.png,1920x1080,Full image,,Not started,Readable building silhouette; important features within the central crop; no signage text.,,,
buildings-blacksmith,Blacksmith,P2,Current content,asset-inbox/buildings/blacksmith.png,1920x1080,Full image,,Not started,Readable building silhouette; important features within the central crop; no signage text.,,,
buildings-trading-post,Trading Post,P2,Current content,asset-inbox/buildings/trading-post.png,1920x1080,Full image,,Not started,Readable building silhouette; important features within the central crop; no signage text.,,,
buildings-watchtower,Watchtower,P2,Current content,asset-inbox/buildings/watchtower.png,1920x1080,Full image,,Not started,Readable building silhouette; important features within the central crop; no signage text.,,,
buildings-bank,Bank,P2,Current content,asset-inbox/buildings/bank.png,1920x1080,Full image,,Not started,Readable building silhouette; important features within the central crop; no signage text.,,,
factions-iron-covenant-emblem,Iron Covenant emblem,P2,Current faction with proposed artwork,asset-inbox/factions/iron-covenant/emblem.png,1024x1024,Transparent,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-iron-covenant-banner,Iron Covenant banner,P2,Current faction with proposed artwork,asset-inbox/factions/iron-covenant/banner.png,1024x1536,Transparent,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-iron-covenant-commander,Iron Covenant commander,P2,Current faction with proposed artwork,asset-inbox/factions/iron-covenant/commander.png,1024x1024,Full image,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-verdant-pact-emblem,Verdant Pact emblem,P2,Current faction with proposed artwork,asset-inbox/factions/verdant-pact/emblem.png,1024x1024,Transparent,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-verdant-pact-banner,Verdant Pact banner,P2,Current faction with proposed artwork,asset-inbox/factions/verdant-pact/banner.png,1024x1536,Transparent,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-verdant-pact-commander,Verdant Pact commander,P2,Current faction with proposed artwork,asset-inbox/factions/verdant-pact/commander.png,1024x1024,Full image,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-ashen-order-emblem,Ashen Order emblem,P2,Current faction with proposed artwork,asset-inbox/factions/ashen-order/emblem.png,1024x1024,Transparent,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-ashen-order-banner,Ashen Order banner,P2,Current faction with proposed artwork,asset-inbox/factions/ashen-order/banner.png,1024x1536,Transparent,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-ashen-order-commander,Ashen Order commander,P2,Current faction with proposed artwork,asset-inbox/factions/ashen-order/commander.png,1024x1024,Full image,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-tidebound-emblem,Tidebound emblem,P2,Current faction with proposed artwork,asset-inbox/factions/tidebound/emblem.png,1024x1024,Transparent,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-tidebound-banner,Tidebound banner,P2,Current faction with proposed artwork,asset-inbox/factions/tidebound/banner.png,1024x1536,Transparent,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
factions-tidebound-commander,Tidebound commander,P2,Current faction with proposed artwork,asset-inbox/factions/tidebound/commander.png,1024x1024,Full image,,Not started,Consistent symbols and materials within this faction; no letters or player rank baked in.,,,
army-unarmed-recruit,Unarmed recruit,P2,Proposed presentation,asset-inbox/army/unarmed-recruit.png,1024x1024,Full image,,Not started,Generic recruit or soldier; visually distinguish role without implying a new unit class.,,,
army-offensive-soldier,Offensive soldier,P2,Proposed presentation,asset-inbox/army/offensive-soldier.png,1024x1024,Full image,,Not started,Generic recruit or soldier; visually distinguish role without implying a new unit class.,,,
army-defensive-soldier,Defensive soldier,P2,Proposed presentation,asset-inbox/army/defensive-soldier.png,1024x1024,Full image,,Not started,Generic recruit or soldier; visually distinguish role without implying a new unit class.,,,
dungeons-whispering-woods-entrance,Whispering Woods entrance,P2,Current content,asset-inbox/dungeons/whispering-woods/entrance.png,1920x1080,Full image,public/art/dungeon.webp,Existing art to review,Borderlands environment; leave space for title overlays; future names and themes require approval.,,,
dungeons-whispering-woods-stage-01,Whispering Woods stage 1 Forgotten Path,P2,Current content,asset-inbox/dungeons/whispering-woods/stage-01.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-whispering-woods-stage-02,Whispering Woods stage 2 Briar Hollow,P2,Current content,asset-inbox/dungeons/whispering-woods/stage-02.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-whispering-woods-stage-03,Whispering Woods stage 3 Sunken Shrine,P2,Current content,asset-inbox/dungeons/whispering-woods/stage-03.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-whispering-woods-stage-04,Whispering Woods stage 4 Watchers Crossing,P2,Current content,asset-inbox/dungeons/whispering-woods/stage-04.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-whispering-woods-boss-arena,Whispering Woods boss arena,P2,Current content,asset-inbox/dungeons/whispering-woods/boss-arena.png,1920x1080,Full image,,Not started,Environment without boss; clear center for future combat overlays.,,,
dungeons-whispering-woods-boss,Thornbound Guardian,P2,Current content,asset-inbox/dungeons/whispering-woods/boss.png,1024x1024,Full image,public/art/thornbound-boss.webp,Existing art to review,Boss identity must be approved for proposed dungeons. Existing wide boss art may be retained until a portrait is needed.,,,
dungeons-whispering-woods-enemy-charging,Whispering Woods charging enemy,P3,Proposed enemy identity,asset-inbox/dungeons/whispering-woods/enemy-charging.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate charging behavior.,,,
dungeons-whispering-woods-enemy-channeling,Whispering Woods channeling enemy,P3,Proposed enemy identity,asset-inbox/dungeons/whispering-woods/enemy-channeling.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate channeling behavior.,,,
dungeons-whispering-woods-enemy-fortified,Whispering Woods fortified enemy,P3,Proposed enemy identity,asset-inbox/dungeons/whispering-woods/enemy-fortified.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate fortified behavior.,,,
dungeons-hollowcrypt-entrance,Hollowcrypt entrance,P2,Current content,asset-inbox/dungeons/hollowcrypt/entrance.png,1920x1080,Full image,public/art/crypt.webp,Existing art to review,Fallen Kingdoms environment; leave space for title overlays; future names and themes require approval.,,,
dungeons-hollowcrypt-stage-01,Hollowcrypt stage 1 Silent Stair,P2,Current content,asset-inbox/dungeons/hollowcrypt/stage-01.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-hollowcrypt-stage-02,Hollowcrypt stage 2 Hall of Echoes,P2,Current content,asset-inbox/dungeons/hollowcrypt/stage-02.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-hollowcrypt-stage-03,Hollowcrypt stage 3 Bone Archive,P2,Current content,asset-inbox/dungeons/hollowcrypt/stage-03.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-hollowcrypt-stage-04,Hollowcrypt stage 4 Kingless Court,P2,Current content,asset-inbox/dungeons/hollowcrypt/stage-04.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-hollowcrypt-boss-arena,Hollowcrypt boss arena,P2,Current content,asset-inbox/dungeons/hollowcrypt/boss-arena.png,1920x1080,Full image,,Not started,Environment without boss; clear center for future combat overlays.,,,
dungeons-hollowcrypt-boss,Oathless King,P2,Current content,asset-inbox/dungeons/hollowcrypt/boss.png,1024x1024,Full image,public/art/oathless-boss.webp,Existing art to review,Boss identity must be approved for proposed dungeons. Existing wide boss art may be retained until a portrait is needed.,,,
dungeons-hollowcrypt-enemy-charging,Hollowcrypt charging enemy,P3,Proposed enemy identity,asset-inbox/dungeons/hollowcrypt/enemy-charging.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate charging behavior.,,,
dungeons-hollowcrypt-enemy-channeling,Hollowcrypt channeling enemy,P3,Proposed enemy identity,asset-inbox/dungeons/hollowcrypt/enemy-channeling.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate channeling behavior.,,,
dungeons-hollowcrypt-enemy-fortified,Hollowcrypt fortified enemy,P3,Proposed enemy identity,asset-inbox/dungeons/hollowcrypt/enemy-fortified.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate fortified behavior.,,,
dungeons-ember-citadel-entrance,Ember Citadel entrance,P2,Current content,asset-inbox/dungeons/ember-citadel/entrance.png,1920x1080,Full image,public/art/ember.webp,Existing art to review,Ashen Frontier environment; leave space for title overlays; future names and themes require approval.,,,
dungeons-ember-citadel-stage-01,Ember Citadel stage 1 Cinder Gate,P2,Current content,asset-inbox/dungeons/ember-citadel/stage-01.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-ember-citadel-stage-02,Ember Citadel stage 2 Furnace of Names,P2,Current content,asset-inbox/dungeons/ember-citadel/stage-02.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-ember-citadel-stage-03,Ember Citadel stage 3 Ashfall Bridge,P2,Current content,asset-inbox/dungeons/ember-citadel/stage-03.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-ember-citadel-stage-04,Ember Citadel stage 4 Crimson Spire,P2,Current content,asset-inbox/dungeons/ember-citadel/stage-04.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-ember-citadel-boss-arena,Ember Citadel boss arena,P2,Current content,asset-inbox/dungeons/ember-citadel/boss-arena.png,1920x1080,Full image,,Not started,Environment without boss; clear center for future combat overlays.,,,
dungeons-ember-citadel-boss,Last Flame,P2,Current content,asset-inbox/dungeons/ember-citadel/boss.png,1024x1024,Full image,public/art/flame-boss.webp,Existing art to review,Boss identity must be approved for proposed dungeons. Existing wide boss art may be retained until a portrait is needed.,,,
dungeons-ember-citadel-enemy-charging,Ember Citadel charging enemy,P3,Proposed enemy identity,asset-inbox/dungeons/ember-citadel/enemy-charging.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate charging behavior.,,,
dungeons-ember-citadel-enemy-channeling,Ember Citadel channeling enemy,P3,Proposed enemy identity,asset-inbox/dungeons/ember-citadel/enemy-channeling.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate channeling behavior.,,,
dungeons-ember-citadel-enemy-fortified,Ember Citadel fortified enemy,P3,Proposed enemy identity,asset-inbox/dungeons/ember-citadel/enemy-fortified.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate fortified behavior.,,,
dungeons-bandit-redoubt-entrance,Bandit Redoubt entrance,P3,Proposed dungeon,asset-inbox/dungeons/bandit-redoubt/entrance.png,1920x1080,Full image,,Not started,Borderlands environment; leave space for title overlays; future names and themes require approval.,,,
dungeons-bandit-redoubt-stage-01,Bandit Redoubt stage 1,P3,Proposed dungeon,asset-inbox/dungeons/bandit-redoubt/stage-01.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-bandit-redoubt-stage-02,Bandit Redoubt stage 2,P3,Proposed dungeon,asset-inbox/dungeons/bandit-redoubt/stage-02.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-bandit-redoubt-stage-03,Bandit Redoubt stage 3,P3,Proposed dungeon,asset-inbox/dungeons/bandit-redoubt/stage-03.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-bandit-redoubt-stage-04,Bandit Redoubt stage 4,P3,Proposed dungeon,asset-inbox/dungeons/bandit-redoubt/stage-04.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-bandit-redoubt-boss-arena,Bandit Redoubt boss arena,P3,Proposed dungeon,asset-inbox/dungeons/bandit-redoubt/boss-arena.png,1920x1080,Full image,,Not started,Environment without boss; clear center for future combat overlays.,,,
dungeons-bandit-redoubt-boss,Bandit Redoubt boss,P3,Proposed dungeon,asset-inbox/dungeons/bandit-redoubt/boss.png,1024x1024,Full image,,Not started,Boss identity must be approved for proposed dungeons. Existing wide boss art may be retained until a portrait is needed.,,,
dungeons-bandit-redoubt-enemy-charging,Bandit Redoubt charging enemy,P3,Proposed enemy identity,asset-inbox/dungeons/bandit-redoubt/enemy-charging.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate charging behavior.,,,
dungeons-bandit-redoubt-enemy-channeling,Bandit Redoubt channeling enemy,P3,Proposed enemy identity,asset-inbox/dungeons/bandit-redoubt/enemy-channeling.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate channeling behavior.,,,
dungeons-bandit-redoubt-enemy-fortified,Bandit Redoubt fortified enemy,P3,Proposed enemy identity,asset-inbox/dungeons/bandit-redoubt/enemy-fortified.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate fortified behavior.,,,
dungeons-briarfen-marsh-entrance,Briarfen Marsh entrance,P3,Proposed dungeon,asset-inbox/dungeons/briarfen-marsh/entrance.png,1920x1080,Full image,,Not started,Borderlands environment; leave space for title overlays; future names and themes require approval.,,,
dungeons-briarfen-marsh-stage-01,Briarfen Marsh stage 1,P3,Proposed dungeon,asset-inbox/dungeons/briarfen-marsh/stage-01.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-briarfen-marsh-stage-02,Briarfen Marsh stage 2,P3,Proposed dungeon,asset-inbox/dungeons/briarfen-marsh/stage-02.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-briarfen-marsh-stage-03,Briarfen Marsh stage 3,P3,Proposed dungeon,asset-inbox/dungeons/briarfen-marsh/stage-03.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-briarfen-marsh-stage-04,Briarfen Marsh stage 4,P3,Proposed dungeon,asset-inbox/dungeons/briarfen-marsh/stage-04.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-briarfen-marsh-boss-arena,Briarfen Marsh boss arena,P3,Proposed dungeon,asset-inbox/dungeons/briarfen-marsh/boss-arena.png,1920x1080,Full image,,Not started,Environment without boss; clear center for future combat overlays.,,,
dungeons-briarfen-marsh-boss,Briarfen Marsh boss,P3,Proposed dungeon,asset-inbox/dungeons/briarfen-marsh/boss.png,1024x1024,Full image,,Not started,Boss identity must be approved for proposed dungeons. Existing wide boss art may be retained until a portrait is needed.,,,
dungeons-briarfen-marsh-enemy-charging,Briarfen Marsh charging enemy,P3,Proposed enemy identity,asset-inbox/dungeons/briarfen-marsh/enemy-charging.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate charging behavior.,,,
dungeons-briarfen-marsh-enemy-channeling,Briarfen Marsh channeling enemy,P3,Proposed enemy identity,asset-inbox/dungeons/briarfen-marsh/enemy-channeling.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate channeling behavior.,,,
dungeons-briarfen-marsh-enemy-fortified,Briarfen Marsh fortified enemy,P3,Proposed enemy identity,asset-inbox/dungeons/briarfen-marsh/enemy-fortified.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate fortified behavior.,,,
dungeons-watchers-quarry-entrance,Watchers Quarry entrance,P3,Proposed dungeon,asset-inbox/dungeons/watchers-quarry/entrance.png,1920x1080,Full image,,Not started,Borderlands environment; leave space for title overlays; future names and themes require approval.,,,
dungeons-watchers-quarry-stage-01,Watchers Quarry stage 1,P3,Proposed dungeon,asset-inbox/dungeons/watchers-quarry/stage-01.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-watchers-quarry-stage-02,Watchers Quarry stage 2,P3,Proposed dungeon,asset-inbox/dungeons/watchers-quarry/stage-02.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-watchers-quarry-stage-03,Watchers Quarry stage 3,P3,Proposed dungeon,asset-inbox/dungeons/watchers-quarry/stage-03.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-watchers-quarry-stage-04,Watchers Quarry stage 4,P3,Proposed dungeon,asset-inbox/dungeons/watchers-quarry/stage-04.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-watchers-quarry-boss-arena,Watchers Quarry boss arena,P3,Proposed dungeon,asset-inbox/dungeons/watchers-quarry/boss-arena.png,1920x1080,Full image,,Not started,Environment without boss; clear center for future combat overlays.,,,
dungeons-watchers-quarry-boss,Watchers Quarry boss,P3,Proposed dungeon,asset-inbox/dungeons/watchers-quarry/boss.png,1024x1024,Full image,,Not started,Boss identity must be approved for proposed dungeons. Existing wide boss art may be retained until a portrait is needed.,,,
dungeons-watchers-quarry-enemy-charging,Watchers Quarry charging enemy,P3,Proposed enemy identity,asset-inbox/dungeons/watchers-quarry/enemy-charging.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate charging behavior.,,,
dungeons-watchers-quarry-enemy-channeling,Watchers Quarry channeling enemy,P3,Proposed enemy identity,asset-inbox/dungeons/watchers-quarry/enemy-channeling.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate channeling behavior.,,,
dungeons-watchers-quarry-enemy-fortified,Watchers Quarry fortified enemy,P3,Proposed enemy identity,asset-inbox/dungeons/watchers-quarry/enemy-fortified.png,1024x1024,Full image,,Not started,Enemy design pending; visual silhouette should communicate fortified behavior.,,,
dungeons-ruins-of-alderkeep-entrance,Ruins of Alderkeep entrance,P3,Proposed dungeon,asset-inbox/dungeons/ruins-of-alderkeep/entrance.png,1920x1080,Full image,,Not started,Fallen Kingdoms environment; leave space for title overlays; future names and themes require approval.,,,
dungeons-ruins-of-alderkeep-stage-01,Ruins of Alderkeep stage 1,P3,Proposed dungeon,asset-inbox/dungeons/ruins-of-alderkeep/stage-01.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-ruins-of-alderkeep-stage-02,Ruins of Alderkeep stage 2,P3,Proposed dungeon,asset-inbox/dungeons/ruins-of-alderkeep/stage-02.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
dungeons-ruins-of-alderkeep-stage-03,Ruins of Alderkeep stage 3,P3,Proposed dungeon,asset-inbox/dungeons/ruins-of-alderkeep/stage-03.png,1920x1080,Full image,,Not started,Different location within the same dungeon; do not reuse the entrance composition.,,,
